year,lat,lon,temperature_c,scenario,temperature_f,anomaly_c,anomaly_f
2074,34.3979057591623,241.25,21.397402,ssp245,70.51532,2.514248,4.525646
2075,34.3979057591623,241.25,20.412275,ssp245,68.742096,1.5291214,2.7524185
2076,34.3979057591623,241.25,22.282743,ssp245,72.10894,3.3995895,6.1192613
2077,34.3979057591623,241.25,20.067312,ssp245,68.12116,1.1841583,2.131485
2078,34.3979057591623,241.25,21.335058,ssp245,70.40311,2.4519043,4.413428
2079,34.3979057591623,241.25,20.970877,ssp245,69.747574,2.0877228,3.757901
2080,34.3979057591623,241.25,20.811945,ssp245,69.4615,1.928791,3.471824
2081,34.3979057591623,241.25,19.966135,ssp245,67.93904,1.0829811,1.949366
2082,34.3979057591623,241.25,21.529776,ssp245,70.75359,2.6466217,4.763919
2083,34.3979057591623,241.25,21.035759,ssp245,69.864365,2.152605,3.874689
2084,34.3979057591623,241.25,20.450144,ssp245,68.81026,1.5669899,2.820582
2085,34.3979057591623,241.25,21.353151,ssp245,70.43567,2.4699974,4.4459953
2086,34.3979057591623,241.25,20.55307,ssp245,68.99553,1.6699162,3.0058491
2087,34.3979057591623,241.25,20.13936,ssp245,68.25085,1.2562065,2.2611718
2088,34.3979057591623,241.25,20.629936,ssp245,69.13389,1.7467823,3.1442082
2089,34.3979057591623,241.25,20.148748,ssp245,68.267746,1.2655945,2.27807
2090,34.3979057591623,241.25,21.44227,ssp245,70.596085,2.5591164,4.6064095
2091,34.3979057591623,241.25,21.634264,ssp245,70.94167,2.75111,4.951998
2092,34.3979057591623,241.25,20.95711,ssp245,69.72279,2.0739555,3.73312
2093,34.3979057591623,241.25,20.146036,ssp245,68.26286,1.2628822,2.273188
2094,34.3979057591623,241.25,20.928377,ssp245,69.67108,2.0452232,3.6814017
2095,34.3979057591623,241.25,21.191093,ssp245,70.14397,2.3079395,4.154291
